uid_t,god_name
V105-1,Zhong Kui
V105-2,Houtu furen
V105-2,Zunzhu mingwang
V106-1,Guanyin
V106-1,Guanyin dashi
V106-1,Houtu furen
V106-1,Zunzhu mingwang
V106-2,Guanyin
V106-2,Guanyin dashi
V106-2,Tianshang shengmu
V107-1,Chenshi zhenren
V107-1,Fude zhengshen
V107-1,Guanyin
V107-1,Guanyin dashi
V107-1,Houtu furen
V107-1,Sima shengwang
V107-1,Zunzhu mingwang
V108-1,Chenshi zhenren
V108-1,Fazhu xianfei
V108-1,Houtu furen
V108-1,Huanggong
V108-1,Huanggong ershi
V108-1,Tiangong
V108-1,Tiangong yuanshuai
V108-1,Wugong
V108-1,Wugong jishi
V108-1,Wulu jiangjun
V108-1,Zhanggong shengjun
V108-1,Zhong Kui
V109-1,Chenshi zhenren
V109-1,Guansheng dijun
V109-1,Houtu furen
V109-1,Sima shengwang
V109-1,Tianshang shengmu
V109-1,Zunzhu mingwang
V109-2,Leisheng puhua tianzun
V109-2,Ma yuanshuai
V109-2,Sanyi jiaozhu
V109-2,Tiangong
V109-2,Tiangong yuanshuai
V109-2,Xuantian shangdi
V109-2,Zhaogong yuanshuai
V109-3,Taiyi xiangu
V109-3,Tiangong
V109-3,Tiangong yuanshuai
V110-1,Fude zhengshen
V110-1,Houtu furen
V110-1,Linshui furen
V110-1,Tianshang wuji shengmu
V110-1,Zunzhu mingwang
V110-2,Huang Zhong
V111-1,Houtu furen
V111-1,Tianshang shengmu
V111-1,Yanggong taishi
V111-1,Zunzhu mingwang
V111-2,Guanyin
V111-2,Guanyin dashi
V111-3,Lufu furen
V111-3,Lufu yima
V111-4,Guanyin
V111-4,Guanyin dashi
V111-5,Guansheng dijun
V111-5,Guanyin
V111-5,Guanyin dashi
V111-5,Weituo
V111-5,Weituo zuntian
V112-1,Houtu furen
V112-1,Linshui furen
V112-1,Zunzhu mingwang
V113-1,Fude zhengshen
V113-1,Houtu furen
V113-1,Zunzhu mingwang
V113-2,Qiugong xianshi
V113-3,Guanyin
V113-3,Guanyin dashi
V113-3,Jialan
V113-3,Weituo
V113-4,Chen Wenlong
V113-4,Hufa longtian
V113-4,Jialan
V113-4,Leisheng puhua tianzun
V113-4,Sanyi jiaozhu
V113-4,Tiangong
V113-4,Tiangong yuanshuai
V113-4,Wuxian lingguan
V113-4,Zhang Hongdu
V113-5,Shijiamouni
V114-1,Houtu furen
V114-1,Sima shengwang
V114-1,Zunzhu mingwang
V115-2,Guanyin
V115-2,Guanyin dashi
V115-2,Tianshang shengmu
V115-2,Wangmu niangniang
V115-2,Yuhuang dadi
V116-1,Houtu furen
V116-1,Sima shengwang
V116-1,Zunzhu mingwang
V116-2,Sanyi jiaozhu
V116-2,Zhang Sanfeng
V117-1,Houtu furen
V117-1,Zunzhu mingwang
V117-2,Sanyi jiaozhu
V118-1,Houtu furen
V118-1,Yanggong taishi
V118-1,Zunzhu mingwang
V119-1,Houtu furen
V119-1,Wulu jiangjun
V119-1,Zunzhu mingwang
V120-1,Baiya jiangjun
V120-1,Ciji zhenjun
V120-1,Houtu furen
V120-1,Tiangong
V120-1,Tiangong yuanshuai
V120-1,Yanggong taishi
V120-1,Zunzhu mingwang
V120-2,Linshui furen
V120-2,Lufu yima
V120-3,Guanyin
V120-3,Guanyin dashi
V120-3,Jialan
V120-3,Jialan pusa
V120-3,Sanguan dadi
V120-3,Shijiamouni
V120-3,Weituo
V120-4,Daxiong
V121-1,Fazhu xianfei
V121-1,Houtu furen
V121-1,Jin daren
V121-1,Liu daren
V121-1,Sima shengwang
V121-1,Wanggong shenghou
V121-1,Wu daren
V121-1,Zunzhu mingwang
V121-2,Guanyin
V121-2,Guanyin dashi
V121-2,Lingguan dadi
V121-2,Wenchang dijun
V121-2,Xu daren
V121-2,Xuantian shangdi
V121-3,Fude zhengshen
V121-3,Guanyin
V121-3,Guanyin dashi
V121-3,Leisheng puhua tianzun
V121-3,Sanyi jiaozhu
V121-3,Xuantan yuanshuai
V121-4,Sanyi jiaozhu
V121-4,Zhang Sanfeng
V122-1,Guanyin
V122-1,Guanyin dashi
V122-1,Houtu furen
V122-1,Wulu jiangjun
V122-1,Zunzhu mingwang
V122-2,Guanyin
V122-2,Guanyin dashi
V122-2,Lufu daren
V122-2,Lufu yima
V122-2,Qitian dasheng
V122-2,Sanyi jiaozhu
V122-2,Shijia wenfo
V122-2,Weituo
V122-2,Weituo zuntian
V122-2,Zhang Sanfeng
V122-2,Zhuo Wanchun
V122-3,Chenshi zhenren
V122-3,Linshui furen
V122-3,Wangmu niangniang
V122-4,Dage
V123-1,Dutian yuanshuai
V123-1,Guanyin
V123-1,Guanyin dashi
V123-1,Houtu furen
V123-1,Sima shengwang
V123-1,Yanggong taishi
V123-1,Zhanggong shengjun
V123-1,Zhong Kui
V123-1,Zunzhu mingwang
V124-1,Houtu furen
V124-1,Zunzhu mingwang
V125-1,Houtu furen
V125-1,Linshui furen
V125-1,Lingguan dadi
V125-1,Qitian dasheng
V125-1,Sima shengwang
V125-1,Yanggong taishi
V125-1,Zunzhu mingwang
V126-1,Houtu furen
V126-1,Wulu jiangjun
V126-1,Zhanggong shengjun
V126-1,Zhong Kui
V126-1,Zunzhu mingwang
V127-1,Baima jiangjun
V127-1,Houtu furen
V127-1,Tiangong
V127-1,Tiangong yuanshuai
V127-1,Zunzhu mingwang
V127-2,Guansheng dijun
V127-2,Guanyin
V127-2,Guanyin dashi
V127-2,Shijiamouni
V127-2,Zhanggong shengjun
V127-2,Zhong Kui
V128-1,Dizang wang
V128-1,Guansheng dijun
V128-1,Sanyi jiaozhu
V128-1,Shijia wenfo
V128-1,Weituo
V128-1,Weituo zuntian
V128-1,Wenwu liesheng
V128-1,Xuantian shangdi
V128-2,Baogong yuanshuai
V128-2,Cigan xianfei
V128-2,Fude zhengshen
V128-2,Gongzheng mingwang
V128-2,Ligong zhangzhe
V128-2,Qianshi shengfei
V128-2,Sima shengwang
V128-2,Tianshang shengmu
V128-2,Wenchang dijun
V128-2,Zhang situ
V128-3,Guansheng dijun
V128-3,Sanyi jiaozhu
V128-4,Ciji zhenjun
V128-4,Lufu furen
V128-4,Lufu yima
V128-5,Tiangong
V128-5,Tiangong yuanshuai
V128-6,Shijiamouni
V129-1,Li jiangjun
V129-1,Sanye
V129-1,Siye
V129-1,Yanggong taishi
V129-1,Zhanggong shengjun
V129-1,Zhong Kui
V129-2,Houtu furen
V129-2,Zunzhu mingwang
V129-3,Houtu furen
V129-3,Zunzhu mingwang
V129-4,Guanyin
V129-4,Guanyin dashi
V129-4,Sanyi jiaozhu
V129-4,Wenchang dijun
V129-5,Jialan
V129-5,Shijiamouni
V129-5,Weituo
V129-5,Yanggong taishi
V130-1,Lin Zhao’en
V130-1,Sanyi jiaozhu
V130-2,Baima xianggong
V130-2,Cigan xianfei
V130-2,Houtu furen
V130-2,Zunzhu mingwang
V130-3,Baima xianggong
V130-3,Cigan xianfei
V130-3,Houtu furen
V130-3,Sima shengwang
V130-3,Zunzhu mingwang
V130-4,Baima xianggong
V130-4,Cigan xianfei
V130-4,Houtu furen
V130-4,Zunzhu mingwang
V130-5,Baima xianggong
V130-5,Cigan xianfei
V130-5,Houtu furen
V130-5,Zunzhu mingwang
V130-6,Baima xianggong
V130-6,Cigan xianfei
V130-6,Houtu furen
V130-6,Zunzhu mingwang
V130-7,Baima xianggong
V130-7,Cigan xianfei
V130-7,Houtu furen
